1_a,2_b,4_c,5_c,6_c,7_a,9_a,10_a,11_a,12_b,16_c,17_c,19_a,20_a,22_b,24_c,28_a,29_a,30_c,31_c,32_c,33_a,34_c,35_a,37_a,38_b,39_b,41_c,42_a,43_b,45_a,46_a,47_abc,48_abc,49_a,49_b,49_c,50_c,51_a,52_a,53_a,55_a,56_b,58_b,59_b,60_a,62_c,63_a,64_b,65_a,65_b,65_c,66_c,68_a,69_a,70_a,71_a,73_c,74_c,75_c,76_a,76_b,76_c,77_b,79_a,80_b,82_a,83_c,84_c,85_c,86_b,87_b,88_a,90_b,92_c,94_a,95_b,96_b,98_a,99_b,100_c,102_c,103_c,104_c,106_b,107_b,109_a,111_a,112_a,113_a,114_a
42.39003431,18.08951336,36.16046804,17.68870303,40.59564515,21.14711678,40.59895027,18.08261975,36.3737225,17.83566257,45.53140463,18.10037279,39.77708796,35.62961825,43.91770499,42.85050966,36.84787095,47.0156823,39.81265239,17.86312112,19.15175988,40.16809852,36.85625316,42.00401018,42.08219902,19.63785037,19.41369286,18.05728665,18.12325114,36.46598569,17.85396963,22.00213047,93.77711873,196.1349139,31.21528393,65.32364079,40.15958639,43.90803612,22.75424424,35.40644239,35.36096192,17.45639118,23.48792387,20.65045046,17.79223725,18.8749301,40.80976666,39.22956201,88.7763554,30.71605177,31.98071095,80.35367219,67.21077422,23.90678097,43.6091931,24.04044554,35.50215387,35.54881818,35.5038576,45.83243454,108.7977314,72.83146373,65.21579611,44.95393283,35.60082339,35.77713033,45.28071868,20.81365414,23.9723744,36.34955912,21.06535681,42.1012948,41.8014348,35.70185106,40.88840862,35.85630984,22.85245115,19.97435801,36.08447215,47.1070733,47.63235092,17.62174791,41.02846997,35.80916946,40.76080231,43.55334096,36.17857655,18.4620771,18.97754391,35.54986402,20.2827312
42.35184999,18.04857924,36.34297453,17.63386872,40.64650765,21.12429312,40.69992698,18.02182687,36.28883531,17.81954108,45.61095898,18.11218487,39.83202273,35.59124923,43.88648634,42.77762226,36.88442697,46.88801655,39.8293945,17.82342366,19.14538994,40.21774224,36.8554734,42.03152102,41.96187473,19.62796751,19.41384943,18.078726,18.12730711,36.44252722,17.88801801,21.9951492,93.72616675,196.3753949,31.2418672,65.31274789,40.16961326,43.96205301,22.76526044,35.46102312,35.35863137,17.50028253,23.50425369,20.61539762,17.75122243,18.89639825,40.75748828,39.23858272,88.4322885,30.84242419,31.93104413,80.30199257,67.13483172,23.88259567,43.6945055,24.02115156,35.41001027,35.59274299,35.48528323,45.78249029,108.9543542,72.98620926,65.28237906,44.81714201,35.75045933,35.78876347,45.31630071,20.83580263,23.9726541,36.34032557,21.08448493,42.06440346,41.92551807,35.72976946,40.88832342,35.93016143,22.87692456,19.93198996,36.00695243,47.08622772,47.51033439,17.66657038,40.94432375,35.85126131,40.75719669,43.71836165,36.10151932,18.46078521,18.97940624,35.65425573,20.25446219
42.37311766,18.09619637,36.41147524,17.66118797,40.57443427,21.11346622,40.80408918,17.996341,36.32945273,17.81038663,45.51605083,18.03888159,39.9312218,35.6031674,43.99226334,42.78519016,36.86993123,47.05446934,39.91258772,17.80294306,19.15946702,40.26040031,36.77100044,42.02598581,42.0094892,19.58479701,19.3736159,18.08763887,18.09927862,36.39297244,17.93437237,22.07214667,93.58106172,196.3091441,31.21538122,65.36692444,40.17418221,43.98122872,22.7564034,35.45173539,35.37774692,17.54975399,23.47431659,20.61258239,17.75092674,18.8796325,40.61827559,39.22041284,88.43000027,30.89257964,31.87099424,80.39614603,67.17494221,23.92076303,43.7631962,24.00297816,35.30178498,35.62214107,35.64059266,45.79885818,109.0637615,73.05960213,65.30178019,44.89191883,35.86550782,35.75299684,45.28593455,20.83450162,23.86595299,36.27146056,21.10199126,42.06567469,41.96454164,35.77776612,40.920247,35.9702029,22.84186937,19.99021847,35.96755799,47.01846088,47.53831511,17.65989476,40.94489385,35.89996199,40.83067535,43.80276245,36.07884039,18.43860656,18.9963936,35.69022632,20.279484
42.40514566,18.12771103,36.45824804,17.69719279,40.61215893,21.08062434,40.79256935,18.0006857,36.32315846,17.79300786,45.58846967,18.00142372,39.92665173,35.66445377,43.99341297,42.75153659,36.98928054,47.19527345,39.91586531,17.78162036,19.21164257,40.20312599,36.68982826,42.07203774,42.05509938,19.5641994,19.36704072,18.12771103,18.1222846,36.36814865,18.00543227,22.03963892,93.54452125,196.7014748,31.24330284,65.224909,40.18815779,43.91234391,22.73429245,35.46261846,35.21430911,17.57215951,23.50577572,20.58951811,17.76186529,18.97618355,40.6304268,39.19322295,88.48997225,30.89036842,31.86612639,80.38093581,67.13342913,23.93271912,43.85472074,23.96841503,35.29742816,35.6601302,35.65583896,45.75690587,109.3429906,73.11761008,65.30732668,44.87691463,35.94387305,35.72309561,45.26889147,20.87857802,23.85891334,36.25737444,21.10364507,42.05736015,42.0366693,35.7309807,41.02247331,36.03972995,22.85095732,20.00526598,35.93560174,46.93044673,47.59061808,17.67754914,40.895349,35.9043314,40.83883511,43.79658404,35.97555102,18.45526111,19.02785045,35.71458889,20.2498742
42.3058776,18.08763887,36.40690831,17.70329662,40.58495554,21.08177244,40.94281452,18.02964459,36.44881676,17.78769155,45.65131585,17.99310551,39.86545094,35.55435655,44.00636371,42.69690317,37.08038212,47.19103645,40.04501448,17.77214521,19.22517202,40.20277843,36.6881376,42.09328862,42.09190288,19.52382814,19.38781316,18.09619637,18.1163752,36.41733376,18.03295732,22.06391401,93.59784401,196.7662259,31.2030352,65.15823819,40.31058563,43.6389347,22.71460383,35.44687337,35.13816011,17.55216076,23.51016599,20.60001414,17.82312198,19.01193475,40.64460611,39.19783284,88.46472001,30.84143261,31.98452272,80.40900644,67.06707708,23.98152306,43.77705779,23.96834828,35.31900655,35.68464119,35.67689158,45.7147519,109.2336208,73.21868178,65.13883221,44.93073174,35.90472622,35.75650531,45.26978776,20.90948938,23.89039013,36.28670072,21.04442187,42.10462857,41.99271343,35.77728061,41.03885849,35.96547011,22.78133518,19.98634732,35.92959178,46.93818736,47.4877552,17.66098026,41.07560387,35.87806733,40.74706797,43.72179536,36.01410796,18.46610379,19.08143122,35.79559868,20.22534654
42.33990112,18.078726,36.41121468,17.70987675,40.56164508,21.0679101,40.93683285,18.06095282,36.47112574,17.75050274,45.84672493,18.02157084,39.88459803,35.54132953,44.06533349,42.67802224,37.07851853,47.12645176,39.99513514,17.83465299,19.23434591,40.1561519,36.67322608,42.11635865,42.08163457,19.48148936,19.3903627,18.04857924,18.09608042,36.42250981,18.03557269,22.11275283,93.59561971,196.7478478,31.1514103,65.11956076,40.20977013,43.70840656,22.66920585,35.41339971,35.1753255,17.48381113,23.52575175,20.61690703,17.64058607,19.03660206,40.72803711,39.19466577,88.68516174,30.80286102,31.97354326,80.34585481,67.06522564,23.96664984,43.95871335,24.03629294,35.41155386,35.72790575,35.67432729,45.79628543,109.5098847,73.31726035,65.25008601,44.85124927,35.76706421,35.75255722,45.32658238,20.87745718,23.87327435,36.40780194,21.06989972,42.04543396,42.08734324,35.80582695,40.97045744,35.95004203,22.8261412,20.02590323,36.00078379,46.95102739,47.60784216,17.67828526,41.10762157,35.88572007,40.68665383,43.80542502,36.02774226,18.50350905,19.00534196,35.76276043,20.24520692
42.30864401,18.05728665,36.43256632,17.74906431,40.47984018,21.05963746,41.00762517,17.98816737,36.47643484,17.78394255,45.86316571,18.0175266,39.89976436,35.53344537,44.07306767,42.57897609,37.03099408,47.1029507,40.12603933,17.89609725,19.20797054,40.03226984,36.73505621,42.06226037,42.02664396,19.44875236,19.39693049,18.08951336,18.09598778,36.5166043,18.03900854,22.15284097,93.66302212,196.9475037,31.22452733,64.95869206,40.22560434,43.90564326,22.66880878,35.38732971,35.17530561,17.5062288,23.50777705,20.53492249,17.64489858,19.07648927,40.72900941,39.24018291,88.77062819,30.8388905,31.93149008,80.8201482,67.06252477,23.93390924,44.15493246,24.0327608,35.54566645,35.71375427,35.65706132,45.77889223,109.4366977,73.16656236,65.52964901,44.72381745,35.73328466,35.73879291,45.32651292,20.87618128,23.76332591,36.37379872,21.10722565,41.97458051,42.10061295,35.82536138,40.94522946,35.9849391,22.75313317,20.03642113,36.03988998,46.97887656,47.53533733,17.6900651,41.08220199,35.84440653,40.70498099,43.8263404,35.98912989,18.52827778,18.98498541,35.70365995,20.27917478
42.30956212,18.05302784,36.41963965,17.75837314,40.3690539,21.09234566,40.99128773,17.95925455,36.48922029,17.72207843,45.87568106,18.02376298,39.88223795,35.53678455,44.05377073,42.5855566,36.99717211,47.078363,39.99228439,17.89371962,19.26598572,40.06562039,36.87300074,42.00582442,42.02238711,19.41816761,19.37143033,18.06749615,18.10524018,36.54344461,18.0654444,22.14683407,93.79345481,197.2043938,31.29076343,65.15398231,40.27975524,43.98995989,22.69604553,35.24084282,35.13182615,17.53189794,23.46795382,20.48366683,17.58296846,19.11262606,40.77045929,39.15973327,88.63623877,30.83455158,31.92044627,81.06602812,67.03104811,23.986388,44.18307543,23.97454364,35.51270802,35.61816485,35.67531008,45.66022809,109.380587,73.11843028,65.53751413,44.80131353,35.88625084,35.76748567,45.1637229,20.83248995,23.70941057,36.33916653,21.17797941,41.9725371,42.02877115,35.82974185,40.91528072,36.07660546,22.76312762,20.06272747,36.07608986,46.89600455,47.51062141,17.69392875,41.1121323,35.76170871,40.67218506,43.77064034,36.01502226,18.50172815,18.9787313,35.7564815,20.29605593
42.19769679,18.01188945,36.35979032,17.74523657,40.36931766,21.12371095,41.05611119,17.98719385,36.43367121,17.68679979,45.82871198,18.05683529,39.97475948,35.51961076,44.01765107,42.60539117,37.05594927,46.91553061,39.91897954,17.83797239,19.2067654,40.10124815,36.91725397,41.91612128,42.06487998,19.40015667,19.36741637,18.07979393,18.10874014,36.59666393,18.02369636,22.11454931,93.77061932,196.9651217,31.2217136,65.17244309,40.29462603,43.96481088,22.64878441,35.20670572,35.14985742,17.54443002,23.56930793,20.44420431,17.57680522,19.15752925,40.91593187,39.08930617,88.73586791,30.79780971,31.90141712,80.8335293,67.14400647,24.01238033,44.06995314,23.90261721,35.4462797,35.57960034,35.6580802,45.65865916,109.2976501,73.19666157,65.61796644,44.92356245,35.89451413,35.8126089,45.09958362,20.9034818,23.68161777,36.36278731,21.09784256,41.89464616,42.0335515,35.78935077,40.94183537,36.08953317,22.84028407,20.03236389,36.07419974,46.76524083,47.51521407,17.74042826,41.03895045,35.73423498,40.81496183,43.6827343,35.97944323,18.56348682,19.00740424,35.76883602,20.32922099
42.20605435,17.99903778,36.43269678,17.7283654,40.41007334,21.0506474,41.18269511,18.0151358,36.33799986,17.681143,45.72036709,18.05414566,39.85468022,35.54941245,44.04787212,42.6283179,37.06335549,46.68485475,39.97145512,17.80698617,19.16589675,40.15873633,36.87631359,41.84616413,42.1334219,19.419552,19.33516672,18.09969914,18.09940976,36.5745581,17.98919184,22.17116448,93.88443828,196.4428079,31.26946765,65.12185102,40.25004474,43.90705828,22.69345252,35.20978059,35.19971565,17.55006871,23.71348068,20.44416171,17.59874841,19.16336996,40.9598566,39.05403853,88.69102436,30.75940914,31.90214164,80.8779387,67.00889815,23.99367639,44.08302153,23.92910485,35.39299626,35.56934507,35.65157992,45.61057263,109.315347,73.13577385,65.6545266,44.96813941,35.85326167,35.77116914,45.02924351,20.88316741,23.64134791,36.37448726,21.08015613,41.97910952,42.0280184,35.73773617,40.97912355,36.11755945,22.91541975,20.01765809,36.04966664,46.7592518,47.38334653,17.76537114,40.97405437,35.76804831,40.77509828,43.69158002,35.97605962,18.565887,18.98883359,35.74293132,20.31370703
42.23589448,17.99074371,36.45366563,17.73120914,40.49919861,21.03220173,41.06984071,18.03335586,36.39561443,17.67439413,45.59320886,18.02474549,39.76042257,35.47013516,44.09693921,42.67124586,37.04461858,46.78200986,40.13824407,17.82996198,19.14464192,40.18930874,36.87610486,41.74798968,42.24723296,19.4259517,19.2711285,18.06059561,18.10805095,36.60770048,18.02732419,22.20260091,93.90433731,196.1399974,31.31988935,65.18595093,40.25930365,43.89313761,22.69602647,35.23125012,35.10571874,17.5154179,23.73912873,20.4601235,17.61974376,19.14793812,40.97970211,39.16218226,88.7668331,30.77019481,31.94520288,80.85716261,66.91992115,24.03180012,44.05604829,23.90611218,35.39749902,35.58324549,35.70197157,45.57780786,109.1751033,73.2014744,65.54675535,45.01857581,35.76435632,35.62096942,45.03713567,20.89556266,23.63292896,36.44676166,21.10635958,42.07452538,41.99201088,35.74405392,41.10597494,36.08813459,22.87593933,20.0111178,35.97891965,46.67525575,47.39061901,17.76789432,40.91370808,35.7659221,40.90620219,43.83701999,36.00674052,18.5857492,18.99207796,35.78368397,20.33994375
42.16928781,17.95681259,36.40726357,17.77392675,40.42237259,21.03283735,41.14635555,18.04792862,36.37710356,17.64957859,45.70468136,17.99353679,39.79156761,35.44231047,44.03878928,42.68643295,36.97848245,46.79492766,40.16241886,17.80154901,19.12896992,40.04250679,36.87986928,41.64840767,42.13917038,19.41041362,19.29177501,18.03071665,18.12131764,36.61672894,18.05770984,22.25333359,93.77919377,196.4242519,31.2372833,65.05263653,40.32927128,43.89797872,22.64760317,35.17256167,35.07886531,17.49603866,23.75802692,20.51123665,17.62222314,19.13849001,40.97074025,39.16968638,88.7491705,30.87857252,31.97740237,80.78695179,66.88179306,24.16105279,44.07481914,23.91353688,35.47028494,35.59982274,35.8222328,45.55131204,109.231625,73.42921146,65.59091468,44.93875279,35.75171859,35.6319256,44.93543681,20.79240364,23.59250019,36.35060345,21.1620713,42.14699886,42.01739162,35.81077039,41.05365238,36.04633824,22.89528054,19.96676949,35.87191623,46.68320956,47.38866352,17.79269879,40.91277802,35.79316312,40.99300805,43.74782518,35.98297706,18.56189098,18.99252535,35.81502063,20.33136603
42.1283991,17.96449439,36.56816252,17.79855433,40.47123811,21.02868007,41.19746287,18.07896258,36.3217796,17.62969271,45.91079335,18.013508,39.8919195,35.38844561,43.99913892,42.71326676,36.99872909,46.77344052,40.04577665,17.75530561,19.13242214,39.92283103,36.86428918,41.67183444,42.06063563,19.36174719,19.30563093,18.04172598,18.12010355,36.66689434,18.03787159,22.34038618,93.70335344,196.8316431,31.17947073,65.06959256,40.26810946,43.81845024,22.61277059,35.16503332,34.97107555,17.49444897,23.75999279,20.51942925,17.60163487,19.14284054,40.95117648,39.16665098,88.9108135,30.87102562,32.05054809,80.77609334,66.83953705,24.08625359,44.05443986,23.93563566,35.47992707,35.6337318,35.81987354,45.43609122,109.3999115,73.50701782,65.68939565,45.00805932,35.73979204,35.57133437,44.94697421,20.74849205,23.56606872,36.21061057,21.154527,42.19880572,42.08175457,35.85863702,41.03668268,35.98321335,22.85599689,19.96038237,35.88576816,46.61541963,47.22143882,17.82173331,40.90656749,35.84380308,41.04792521,43.71722755,36.12146697,18.57075377,19.00681856,35.7988468,20.36138249
41.94123445,17.92246813,36.68266803,17.81291772,40.61630923,21.05231429,41.26954166,18.09899183,36.32017591,17.64169596,45.95657421,18.05435381,39.8933256,35.30962058,43.85411882,42.73776635,36.91710625,46.75516716,40.02385679,17.747618,19.32924448,39.89293488,36.9011388,41.77861617,42.06178652,19.34469192,19.24688745,18.05789814,18.1176123,36.65674988,18.05110358,22.35372354,93.58023392,196.6623138,31.10015582,65.08851339,40.17259434,43.80936837,22.62970609,35.27322947,35.00938316,17.52878565,23.76609097,20.48522872,17.62367577,19.11458602,40.91511055,39.18719319,88.98300413,31.19046347,32.0798113,80.58182047,66.84805569,24.01687762,44.02554749,24.00053397,35.48880838,35.6189606,35.82982687,45.5329741,109.4095879,73.55516178,65.6641624,44.9673913,35.69575304,35.46969323,45.04347511,20.70669604,23.59421584,36.13638002,21.22457038,42.22377909,42.11105598,35.77966781,41.02806193,35.87201214,22.85388452,19.94195284,35.87136983,46.77885347,47.18190861,17.85357002,40.88469453,35.79324249,41.11377513,43.74586678,36.10690061,18.54410647,19.02122365,35.82166891,20.40391305
